#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
HG02389	1080447	1.00000	1583018	0.99945	0.00098	0.00031	1.46515	0.01393
HG01958	992532	1.00000	1804284	0.99957	0.00083	0.00027	1.81786	0.01174
HG01556	937197	1.00000	1843512	0.99955	0.00086	0.00026	1.96705	0.01272
NA19355	1040093	1.00000	1738599	0.99952	0.00086	0.00028	1.67158	0.01427
HG01168	969804	1.00000	1776008	0.99950	0.00111	0.00036	1.83131	0.01258
HG02508	1027069	1.00000	1739814	0.99937	0.00258	0.00098	1.69396	0.01340
HG00583	1110009	1.00000	1660772	0.99948	0.00131	0.00041	1.49618	0.01229
NA19472	1002670	1.00000	1662861	0.99954	0.00076	0.00025	1.65843	0.01392
HG00266	981008	1.00000	1748093	0.99949	0.00083	0.00026	1.78194	0.01303
HG00237	989077	1.00000	1741335	0.99950	0.00090	0.00028	1.76057	0.01234
HG00174	993043	1.00000	1768392	0.99957	0.00110	0.00034	1.78078	0.01156
HG01704	977573	1.00000	1759240	0.99949	0.00092	0.00029	1.79960	0.01302
HG03703	966550	1.00000	1750826	0.99945	0.00096	0.00030	1.81142	0.01443
HG00638	979524	1.00000	1874380	0.99952	0.00093	0.00029	1.91356	0.01141
HG02687	1019286	1.00000	1770725	0.99952	0.00127	0.00041	1.73722	0.01218
HG03705	1021647	1.00000	1793486	0.99949	0.00107	0.00036	1.75549	0.01268
NA18871	1076173	1.00000	1741862	0.99955	0.00154	0.00057	1.61857	0.01015
NA18972	1138684	1.00000	1685533	0.99946	0.00122	0.00038	1.48025	0.01139
HG01926	1205127	1.00000	1439267	0.99941	0.00090	0.00029	1.19429	0.01302
HG03727	1018092	1.00000	1803848	0.99951	0.00103	0.00032	1.77179	0.01189
HG02383	1091729	1.00000	1629765	0.99941	0.00093	0.00030	1.49283	0.01385
HG01148	1046079	1.00000	1669814	0.99944	0.00107	0.00036	1.59626	0.01327
HG03694	983092	1.00000	1814471	0.99952	0.00086	0.00027	1.84568	0.01311
HG02070	1095511	1.00000	1643412	0.99949	0.00084	0.00027	1.50013	0.01350
HG01939	1092545	1.00000	1688953	0.99944	0.00096	0.00030	1.54589	0.01766
HG01092	928279	1.00000	1842069	0.99953	0.00096	0.00030	1.98439	0.01294
NA19319	1057473	1.00000	1743293	0.99955	0.00084	0.00028	1.64855	0.01143
HG01676	996974	1.00000	1721279	0.99953	0.00090	0.00028	1.72650	0.01334
HG00478	1122337	1.00000	1630976	0.99946	0.00108	0.00034	1.45320	0.01297
NA20512	987288	1.00000	1780722	0.99949	0.00128	0.00042	1.80365	0.01223
HG01491	1074256	1.00000	1713201	0.99953	0.00099	0.00032	1.59478	0.00993
NA20802	974901	1.00000	1756604	0.99949	0.00150	0.00046	1.80183	0.01311
HG01791	947460	1.00000	1672125	0.99949	0.00120	0.00036	1.76485	0.01457
HG02155	1089464	1.00000	1623040	0.99949	0.00117	0.00039	1.48976	0.01353
NA19024	1037764	1.00000	1727385	0.99947	0.00082	0.00027	1.66453	0.01300
HG00728	1107449	1.00000	1651388	0.99949	0.00083	0.00026	1.49116	0.01301
HG01489	951688	1.00000	1752920	0.99951	0.00085	0.00027	1.84191	0.01334
HG03905	984860	1.00000	1791582	0.99949	0.00195	0.00068	1.81912	0.01336
NA19923	948860	1.00000	1895001	0.99958	0.00092	0.00029	1.99713	0.01177
NA19309	1024040	1.00000	1693248	0.99956	0.00091	0.00030	1.65350	0.01284
NA18992	1134162	1.00000	1518306	0.99938	0.00111	0.00038	1.33870	0.01454
HG00729	1145553	1.00000	1678582	0.99947	0.00122	0.00038	1.46530	0.01122
NA20510	958502	1.00000	1708808	0.99946	0.00132	0.00040	1.78279	0.01416
HG02938	1078111	1.00000	1717975	0.99953	0.00161	0.00059	1.59350	0.01147
HG01767	1000121	1.00000	1763915	0.99954	0.00094	0.00030	1.76370	0.01221
HG02946	1042660	1.00000	1702150	0.99951	0.00097	0.00033	1.63251	0.01318
HG02153	1120688	1.00000	1647308	0.99952	0.00084	0.00027	1.46991	0.01250
HG03856	988126	1.00000	1703491	0.99950	0.00167	0.00057	1.72396	0.01443
HG02154	1150912	1.00000	1591886	0.99945	0.00085	0.00028	1.38315	0.01311
HG00371	1023223	1.00000	1757239	0.99954	0.00120	0.00040	1.71736	0.01128
HG04227	1017904	1.00000	1797009	0.99948	0.00247	0.00088	1.76540	0.01188
HG02010	967667	1.00000	1747407	0.99949	0.00075	0.00024	1.80579	0.01416
NA18943	1115694	1.00000	1661463	0.99947	0.00101	0.00031	1.48917	0.01223
HG02982	1025921	1.00000	1677133	0.99944	0.00244	0.00094	1.63476	0.01355
HG01968	1181822	1.00000	1511674	0.99945	0.00084	0.00028	1.27910	0.01266
NA18952	1131683	1.00000	1651713	0.99942	0.00094	0.00029	1.45952	0.01337
HG02133	1123989	1.00000	1671516	0.99949	0.00099	0.00032	1.48713	0.01288
HG02308	1003579	1.00000	1764451	0.99958	0.00092	0.00032	1.75816	0.01249
NA20826	1008954	1.00000	1790691	0.99954	0.00098	0.00031	1.77480	0.01118
HG02318	1006439	1.00000	1678391	0.99952	0.00127	0.00045	1.66765	0.01381
HG04029	1045715	1.00000	1736935	0.99939	0.00315	0.00119	1.66100	0.01324
HG03729	1008244	1.00000	1804143	0.99956	0.00137	0.00047	1.78939	0.01209
HG02721	1042280	1.00000	1687002	0.99951	0.00133	0.00048	1.61857	0.01313
HG03556	1058253	1.00000	1705619	0.99940	0.00237	0.00090	1.61173	0.01331
HG03824	994156	1.00000	1766801	0.99939	0.00177	0.00059	1.77719	0.01448
NA20895	996498	1.00000	1792523	0.99948	0.00105	0.00032	1.79882	0.01285
HG01973	1075106	1.00000	1579620	0.99948	0.00085	0.00027	1.46927	0.01406
NA18917	1042529	1.00000	1711538	0.99949	0.00076	0.00025	1.64172	0.01342
HG00717	1098559	1.00000	1620242	0.99949	0.00090	0.00028	1.47488	0.01362
NA19758	1097271	1.00000	1655092	0.99948	0.00095	0.00030	1.50837	0.01257
HG03862	1108520	1.00000	1578031	0.99939	0.00166	0.00060	1.42355	0.01350
NA19331	1043556	1.00000	1745810	0.99958	0.00083	0.00027	1.67294	0.01121
HG01785	1003877	1.00000	1786059	0.99950	0.00109	0.00034	1.77916	0.01103
HG02521	1102855	1.00000	1677724	0.99947	0.00091	0.00029	1.52126	0.01305
HG03123	1051621	1.00000	1695232	0.99952	0.00117	0.00041	1.61202	0.01259
HG02116	1099716	1.00000	1670661	0.99942	0.00080	0.00025	1.51917	0.01374
NA19648	1004025	1.00000	1725774	0.99949	0.00087	0.00027	1.71886	0.01243
NA18559	1132368	1.00000	1689015	0.99949	0.00114	0.00037	1.49158	0.01181
HG00318	972692	1.00000	1710941	0.99947	0.00089	0.00028	1.75898	0.01366
HG01205	973249	1.00000	1898515	0.99957	0.00092	0.00029	1.95070	0.01097
HG03394	1055572	1.00000	1687168	0.99949	0.00105	0.00037	1.59834	0.01284
HG01933	1040294	1.00000	1756277	0.99952	0.00102	0.00034	1.68825	0.01246
HG02379	1090064	1.00000	1600601	0.99948	0.00093	0.00030	1.46836	0.01387
NA19108	1056883	1.00000	1665752	0.99952	0.00088	0.00029	1.57610	0.01303
NA19323	1027942	1.00000	1729424	0.99949	0.00084	0.00027	1.68241	0.01266
NA20517	990989	1.00000	1725788	0.99950	0.00120	0.00040	1.74148	0.01279
NA21118	998190	1.00000	1769536	0.99947	0.00093	0.00029	1.77274	0.01390
NA19198	1074465	1.00000	1712507	0.99954	0.00116	0.00040	1.59382	0.01165
HG00281	996926	1.00000	1757156	0.99929	0.00097	0.00030	1.76257	0.02290
HG00734	973420	1.00000	1813577	0.99952	0.00100	0.00031	1.86310	0.01295
NA20809	990014	1.00000	1767367	0.99951	0.00105	0.00034	1.78519	0.01216
HG01494	998719	1.00000	1812868	0.99952	0.00099	0.00031	1.81519	0.01244
HG01512	963045	1.00000	1699509	0.99946	0.00092	0.00028	1.76472	0.01410
NA18637	1117886	1.00000	1681443	0.99946	0.00117	0.00039	1.50413	0.01274
HG00231	981589	1.00000	1748267	0.99950	0.00086	0.00027	1.78106	0.01269
HG01369	1056525	1.00000	1780782	0.99949	0.00096	0.00030	1.68551	0.01065
HG03563	1042611	1.00000	1686846	0.99951	0.00209	0.00076	1.61791	0.01239
HG00626	1123980	1.00000	1664705	0.99944	0.00088	0.00028	1.48108	0.01382
HG03771	1013523	1.00000	1804456	0.99940	0.00285	0.00101	1.78038	0.01264
HG03225	1053184	1.00000	1681904	0.99950	0.00100	0.00036	1.59697	0.01310
HG03743	1048322	1.00000	1739156	0.99948	0.00103	0.00033	1.65899	0.01261
NA12413	952755	1.00000	1653885	0.99952	0.00104	0.00032	1.73590	0.01351
HG00118	991057	1.00000	1782677	0.99959	0.00104	0.00033	1.79876	0.01146
HG03046	1015040	1.00000	1665958	0.99949	0.00094	0.00033	1.64127	0.01476
HG02947	1037355	1.00000	1696492	0.99943	0.00144	0.00053	1.63540	0.01387
HG03028	1002773	1.00000	1633171	0.99945	0.00086	0.00028	1.62865	0.01529
HG02629	1037945	1.00000	1697761	0.99950	0.00095	0.00032	1.63569	0.01340
NA20525	984700	1.00000	1752865	0.99954	0.00138	0.00042	1.78010	0.01180
HG01599	1121139	1.00000	1676534	0.99949	0.00090	0.00028	1.49538	0.01210
NA21098	992693	1.00000	1765174	0.99950	0.00112	0.00036	1.77817	0.01336
NA12718	976514	1.00000	1754313	0.99951	0.00131	0.00045	1.79651	0.01275
HG02690	1053496	1.00000	1659492	0.99947	0.00198	0.00070	1.57522	0.01281
HG01530	973954	1.00000	1754813	0.99947	0.00098	0.00030	1.80174	0.01298
NA20804	955550	1.00000	1694190	0.99946	0.00131	0.00039	1.77300	0.01437
NA18864	1029954	1.00000	1651537	0.99949	0.00079	0.00026	1.60351	0.01465
HG01678	966650	1.00000	1708298	0.99949	0.00089	0.00028	1.76724	0.01349
NA12400	1010620	1.00000	1791527	0.99960	0.00118	0.00038	1.77270	0.00975
HG01047	955456	1.00000	1807530	0.99955	0.00094	0.00029	1.89180	0.01295
NA18624	1114485	1.00000	1644916	0.99937	0.00109	0.00034	1.47594	0.01486
HG03741	1034179	1.00000	1757199	0.99950	0.00168	0.00058	1.69912	0.01188
