#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
NA18990	1153477	1.00000	1686741	0.97501	0.00648	0.00200	1.46231	0.01068
NA18532	1125983	1.00000	1644522	0.97576	0.00614	0.00190	1.46052	0.01319
NA20846	1029435	1.00000	1789538	0.97647	0.00660	0.00200	1.73837	0.01179
NA11894	1015443	1.00000	1779496	0.97579	0.00645	0.00196	1.75243	0.01177
HG03061	1083852	1.00000	1704951	0.97661	0.00605	0.00194	1.57305	0.01162
NA18538	1146875	1.00000	1705179	0.97564	0.00710	0.00219	1.48680	0.00800
HG00319	1017331	1.00000	1799270	0.97564	0.00610	0.00184	1.76862	0.01175
HG00338	1018098	1.00000	1786659	0.97630	0.00801	0.00240	1.75490	0.01027
NA12878	1021411	1.00000	1765190	0.97747	0.00640	0.00195	1.72819	0.01119
HG03874	1037120	1.00000	1830978	0.97622	0.00719	0.00222	1.76544	0.01126
HG02040	1130093	1.00000	1710553	0.97529	0.00596	0.00182	1.51364	0.01176
NA19189	1061823	1.00000	1641227	0.97713	0.00544	0.00176	1.54567	0.01342
HG01095	976564	1.00000	1821198	0.97769	0.00637	0.00191	1.86490	0.01263
HG02079	1126577	1.00000	1656767	0.97536	0.00567	0.00176	1.47062	0.01329
NA19704	1020308	1.00000	1805749	0.97816	0.00615	0.00193	1.76981	0.01158
HG01465	1014640	1.00000	1767837	0.97660	0.00635	0.00193	1.74233	0.01249
HG00320	1055135	1.00000	1753438	0.97653	0.00733	0.00225	1.66181	0.00900
HG03060	1081266	1.00000	1712493	0.97696	0.00616	0.00199	1.58379	0.01153
NA18647	1136644	1.00000	1702381	0.97463	0.00693	0.00212	1.49773	0.01163
NA20753	1009196	1.00000	1796968	0.97641	0.00787	0.00235	1.78059	0.01238
HG03616	1027560	1.00000	1837921	0.97672	0.00650	0.00197	1.78863	0.01183
HG00653	1166410	1.00000	1695127	0.97639	0.00646	0.00201	1.45329	0.00609
NA20318	975169	1.00000	1900017	0.97724	0.00681	0.00207	1.94840	0.01015
HG00146	1029171	1.00000	1799083	0.97632	0.00651	0.00198	1.74809	0.00768
HG00881	1146661	1.00000	1692450	0.97505	0.00642	0.00196	1.47598	0.01117
HG03121	1093872	1.00000	1689535	0.97751	0.00577	0.00188	1.54455	0.01093
NA20785	1004631	1.00000	1821453	0.97621	0.00640	0.00191	1.81306	0.00885
NA19385	1052546	1.00000	1737529	0.97750	0.00561	0.00178	1.65079	0.01184
NA19454	1071768	1.00000	1740797	0.97659	0.00572	0.00184	1.62423	0.01162
NA20906	1050733	1.00000	1846770	0.97617	0.00626	0.00192	1.75760	0.00900
NA19025	1081115	1.00000	1726399	0.97746	0.00600	0.00193	1.59687	0.01066
HG00607	1162683	1.00000	1677454	0.97505	0.00605	0.00189	1.44274	0.01022
HG00128	1043263	1.00000	1776936	0.97604	0.00707	0.00217	1.70325	0.00782
HG00403	1121976	1.00000	1682527	0.97528	0.00598	0.00182	1.49961	0.01286
NA19002	1148896	1.00000	1691092	0.97508	0.00692	0.00211	1.47193	0.01023
NA12762	1032891	1.00000	1779131	0.97669	0.00670	0.00205	1.72248	0.01029
HG02285	1133495	1.00000	1636906	0.97475	0.00598	0.00185	1.44412	0.01281
HG02922	1053786	1.00000	1703430	0.97701	0.00606	0.00196	1.61649	0.01274
HG02557	1049389	1.00000	1747493	0.97719	0.00656	0.00213	1.66525	0.01204
HG03773	1089684	1.00000	1757168	0.97663	0.00791	0.00256	1.61255	0.00859
HG02502	1004297	1.00000	1788333	0.97771	0.00670	0.00212	1.78068	0.01271
NA18982	1120930	1.00000	1661259	0.97684	0.00680	0.00206	1.48204	0.01279
HG01843	1136226	1.00000	1678232	0.97456	0.00672	0.00208	1.47702	0.01242
HG04200	1029931	1.00000	1827834	0.97685	0.01012	0.00319	1.77472	0.01010
NA19347	1065079	1.00000	1741355	0.97676	0.00567	0.00182	1.63495	0.01097
NA19462	1073692	1.00000	1737601	0.97499	0.00584	0.00188	1.61834	0.01526
HG01845	1135217	1.00000	1678715	0.97516	0.00658	0.00202	1.47876	0.01263
HG03706	1036718	1.00000	1809783	0.97647	0.00798	0.00239	1.74568	0.01174
NA19771	1018104	1.00000	1768269	0.97636	0.00587	0.00177	1.73683	0.01269
HG02016	1078640	1.00000	1686093	0.97593	0.00583	0.00178	1.56317	0.01385
HG01605	993227	1.00000	1759285	0.97647	0.00621	0.00187	1.77128	0.01248
NA19007	1116206	1.00000	1663901	0.97576	0.00610	0.00189	1.49068	0.01313
HG00376	1032834	1.00000	1774350	0.97668	0.00638	0.00192	1.71794	0.01105
HG02700	1002100	1.00000	1810066	0.97644	0.00691	0.00207	1.80627	0.01244
HG01503	1006613	1.00000	1766153	0.97712	0.00631	0.00192	1.75455	0.01198
NA20530	1014701	1.00000	1786463	0.97605	0.00739	0.00227	1.76058	0.01093
NA20818	1007469	1.00000	1797662	0.97659	0.00670	0.00201	1.78433	0.01132
NA19141	1049351	1.00000	1649913	0.97691	0.00648	0.00206	1.57232	0.01391
NA19144	1079555	1.00000	1722487	0.97711	0.00651	0.00215	1.59555	0.01110
NA18876	1055327	1.00000	1722472	0.97687	0.00570	0.00184	1.63217	0.01220
