#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HET_RATE	INCONSISTENT_AB_HET_RATE
GTEX-ZQG8	1006013	1.0000	1965652	1.0000	0.0043	0.0010	1.9539	0.0071
GTEX-WXYG	1115453	1.0000	2798053	1.0000	0.0037	0.0010	2.5084	0.0068
GTEX-1GZ4I	1090733	1.0000	2166757	1.0000	0.0039	0.0009	1.9865	0.0033
GTEX-18A67	1096555	1.0000	2194522	1.0000	0.0037	0.0009	2.0013	0.0051
GTEX-WZTO	1052921	1.0000	2127317	1.0000	0.0054	-nan	2.0204	0.0069
GTEX-WRHK	962938	1.0000	1911422	1.0000	0.0038	0.0008	1.9850	0.0104
GTEX-S95S	1101326	1.0000	2150822	1.0000	0.0030	-nan	1.9529	0.0031
GTEX-113JC	1006808	1.0000	2057372	1.0000	0.0037	0.0008	2.0435	0.0075
GTEX-11EI6	908639	1.0000	1795080	1.0000	0.0114	0.0033	1.9756	0.0064
GTEX-QDVJ	1067992	1.0000	2109586	1.0000	0.0052	-nan	1.9753	0.0044
GTEX-117XS	1017097	1.0000	2007250	1.0000	0.0032	0.0007	1.9735	0.0061
GTEX-11NUK	1033246	1.0000	2027831	1.0000	0.0032	0.0007	1.9626	0.0060
