#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
NA12414	929799	1.00000	1583430	0.99920	0.00517	0.00201	0.63004	0.01377
HG03382	964303	1.00000	1558449	0.99954	0.00131	0.00044	0.61776	0.01270
NA20799	916298	1.00000	1624153	0.99959	0.00088	0.00027	0.63932	0.01192
HG00113	899112	1.00000	1586910	0.99947	0.00080	0.00025	0.63833	0.01377
NA20890	935853	1.00000	1648806	0.99954	0.00101	0.00032	0.63792	0.01188
HG02433	937238	1.00000	1658767	0.99953	0.00112	0.00037	0.63897	0.01215
HG00255	938796	1.00000	1635434	0.99951	0.00088	0.00027	0.63531	0.01191
NA21102	966272	1.00000	1693225	0.99960	0.00112	0.00035	0.63667	0.00986
HG03643	941147	1.00000	1660676	0.99957	0.00084	0.00026	0.63827	0.01181
HG01269	922912	1.00000	1680476	0.99955	0.00088	0.00027	0.64550	0.01209
HG03821	936870	1.00000	1681241	0.99948	0.00290	0.00103	0.64216	0.01209
NA20868	958220	1.00000	1697373	0.99956	0.00092	0.00028	0.63917	0.01087
HG02067	1034218	1.00000	1555644	0.99944	0.00101	0.00032	0.60067	0.01230
NA18501	937220	1.00000	1510160	0.99949	0.00097	0.00032	0.61705	0.01483
NA20787	939559	1.00000	1622109	0.99949	0.00095	0.00030	0.63322	0.01159
HG03687	949934	1.00000	1565099	0.99948	0.00092	0.00030	0.62230	0.01421
HG00235	946192	1.00000	1646464	0.99957	0.00090	0.00028	0.63505	0.01002
NA18502	951383	1.00000	1519492	0.99949	0.00090	0.00030	0.61496	0.01396
HG01435	941401	1.00000	1674476	0.99953	0.00086	0.00027	0.64012	0.01182
HG01777	910240	1.00000	1658530	0.99951	0.00100	0.00030	0.64565	0.01218
NA19092	996362	1.00000	1594176	0.99953	0.00092	0.00031	0.61538	0.01238
NA19719	908048	1.00000	1723557	0.99958	0.00098	0.00031	0.65495	0.01099
HG00101	929438	1.00000	1646291	0.99952	0.00102	0.00032	0.63916	0.01161
NA20896	938129	1.00000	1645826	0.99953	0.00120	0.00036	0.63694	0.01272
HG01868	1034792	1.00000	1531796	0.99952	0.00098	0.00031	0.59682	0.01241
NA18567	1063608	1.00000	1548108	0.99951	0.00090	0.00029	0.59276	0.01220
HG02445	941896	1.00000	1677372	0.99953	0.00141	0.00050	0.64040	0.01096
HG04076	946911	1.00000	1682852	0.99943	0.00452	0.00168	0.63993	0.01208
NA19089	1036633	1.00000	1544223	0.99948	0.00091	0.00029	0.59834	0.01269
NA18939	1022411	1.00000	1507246	0.99950	0.00097	0.00030	0.59583	0.01368
HG02649	954528	1.00000	1550315	0.99949	0.00103	0.00034	0.61893	0.01400
HG02676	963876	1.00000	1579967	0.99949	0.00093	0.00031	0.62109	0.01283
NA18985	1050020	1.00000	1514462	0.99947	0.00113	0.00035	0.59055	0.01306
HG02367	1040506	1.00000	1516190	0.99949	0.00075	0.00024	0.59303	0.01278
NA20808	937590	1.00000	1648337	0.99931	0.00596	0.00233	0.63743	0.01124
NA21111	911757	1.00000	1616089	0.99951	0.00099	0.00030	0.63931	0.01370
NA18543	1032304	1.00000	1547330	0.99950	0.00076	0.00024	0.59983	0.01285
HG01851	1033225	1.00000	1554282	0.99957	0.00083	0.00026	0.60069	0.01221
HG03304	967758	1.00000	1576584	0.99953	0.00118	0.00041	0.61964	0.01233
HG03019	952930	1.00000	1609504	0.99948	0.00117	0.00038	0.62812	0.01297
NA18558	1024628	1.00000	1512535	0.99943	0.00153	0.00052	0.59615	0.01313
NA20828	924319	1.00000	1640917	0.99953	0.00083	0.00026	0.63967	0.01247
NA21116	917656	1.00000	1656799	0.99953	0.00122	0.00038	0.64355	0.01253
HG04023	1007406	1.00000	1590699	0.99953	0.00136	0.00043	0.61225	0.01150
HG02697	932757	1.00000	1642337	0.99949	0.00120	0.00038	0.63778	0.01286
NA18867	978676	1.00000	1557377	0.99957	0.00079	0.00026	0.61409	0.01154
HG00620	1062223	1.00000	1542471	0.99952	0.00082	0.00026	0.59219	0.01151
HG02570	981533	1.00000	1590484	0.99955	0.00102	0.00035	0.61838	0.01211
HG01432	901814	1.00000	1575148	0.99953	0.00083	0.00026	0.63592	0.01330
NA19062	1024363	1.00000	1515502	0.99947	0.00095	0.00030	0.59669	0.01331
HG02398	1013895	1.00000	1487608	0.99952	0.00092	0.00029	0.59469	0.01383
HG01271	917690	1.00000	1728248	0.99959	0.00092	0.00028	0.65317	0.01064
HG02694	986774	1.00000	1517040	0.99947	0.00119	0.00040	0.60589	0.01264
HG03091	986243	1.00000	1549611	0.99953	0.00112	0.00039	0.61108	0.01241
HG03746	942053	1.00000	1682663	0.99948	0.00094	0.00029	0.64108	0.01259
HG03607	934417	1.00000	1672420	0.99952	0.00202	0.00067	0.64155	0.01247
HG01198	943208	1.00000	1637118	0.99956	0.00103	0.00033	0.63446	0.01137
HG01344	962256	1.00000	1646720	0.99953	0.00107	0.00035	0.63117	0.01131
NA18565	1070736	1.00000	1571914	0.99957	0.00122	0.00039	0.59482	0.00930
NA20878	959686	1.00000	1677661	0.99955	0.00112	0.00035	0.63612	0.01112
HG04131	947970	1.00000	1718127	0.99952	0.00242	0.00083	0.64444	0.01062
NA18626	1046006	1.00000	1576433	0.99951	0.00095	0.00030	0.60113	0.01141
NA19350	950322	1.00000	1583436	0.99954	0.00101	0.00033	0.62494	0.01266
HG03049	943861	1.00000	1517775	0.99947	0.00099	0.00035	0.61657	0.01484
HG01852	1047933	1.00000	1563937	0.99948	0.00084	0.00027	0.59878	0.01237
NA20771	929087	1.00000	1669163	0.99952	0.00106	0.00033	0.64242	0.01104
HG03139	1000814	1.00000	1580337	0.99956	0.00105	0.00036	0.61226	0.01079
HG01366	909673	1.00000	1692939	0.99950	0.00077	0.00024	0.65048	0.01259
HG03755	895174	1.00000	1620998	0.99939	0.00399	0.00149	0.64423	0.01316
